,날짜,feat_a,feat_b,feat_c,feat_d,feat_e,feat_f,매출
424,2020. 10. 2,20983046,107127,5648,183,5146,5726263,13881824
425,2020. 10. 1,20401987,105155,2655,185,4982,6752459,12710163
426,2020. 9. 30,21057535,102450,7257,216,4628,6895134,15222026
427,2020. 9. 29,29200718,110858,1424,221,4741,5966614,18522639
428,2020. 9. 28,31254287,117013,9043,225,4867,6325411,19946035
429,2020. 9. 27,22188516,112036,6552,205,4783,5659747,17282192
430,2020. 9. 26,22086183,109181,8324,210,4793,5518459,17432984
431,2020. 9. 25,30920121,114372,5860,250,5106,8171107,20367644
432,2020. 9. 24,31659304,114139,4032,258,5071,10530349,18889588
433,2020. 9. 23,31599374,112887,5097,259,5504,10707845,18576388
434,2020. 9. 22,32208028,114912,7400,241,5583,5336616,22344910
435,2020. 9. 21,32726809,114717,3030,237,5137,4249905,22969942
436,2020. 9. 20,22592362,107485,8116,203,4876,4921582,16846877
437,2020. 9. 19,22494322,107053,7289,202,4873,4674537,17000196
438,2020. 9. 18,31544680,116569,794,214,5414,3885337,21039228
439,2020. 9. 17,33225181,118818,4096,217,5745,5077293,20722994
440,2020. 9. 16,33330134,120161,7981,211,6156,4926577,20408310
441,2020. 9. 15,32939690,119107,1764,202,6432,4621525,19447326
442,2020. 9. 14,33409619,121404,4359,190,6324,4137101,18961079
443,2020. 9. 13,23352580,113763,4252,175,5811,4578119,15295168
444,2020. 9. 12,23383720,116064,836,174,5819,4027261,16120529
445,2020. 9. 11,32815082,124863,2822,189,6340,4467554,19152198
446,2020. 9. 10,33785967,122435,824,192,5951,4096880,19468028
447,2020. 9. 9,34347123,126033,7873,184,6160,3771776,19470078
448,2020. 9. 8,34317766,127167,7036,182,6154,3720825,19429947
449,2020. 9. 7,36190026,139301,229,174,6939,3390569,20902020
450,2020. 9. 6,23980273,122784,8701,162,6156,4430060,15432544
451,2020. 9. 5,24009657,122168,9881,157,5776,3941379,15291101
452,2020. 9. 4,33293216,131652,4024,174,6113,5073170,17843161
453,2020. 9. 3,34868950,135236,3093,176,6294,4770473,18982445
454,2020. 9. 2,35208189,138453,3313,174,6681,4375874,19693913
455,2020. 9. 1,35200373,133105,5543,177,5913,5504636,18121126
456,2020. 8. 31,35380188,136704,6587,173,5768,6522550,17171811
457,2020. 8. 30,25432710,132168,7754,161,5507,6673101,14644550
458,2020. 8. 29,25155768,132964,5468,159,5882,5797183,15282418
459,2020. 8. 28,33960336,140005,6340,175,6253,6982663,17539021
460,2020. 8. 27,34935197,138570,7669,189,6234,7967747,18197857
461,2020. 8. 26,34861755,134189,8438,188,5811,8343076,16900880
462,2020. 8. 25,34076399,130032,9397,184,5676,7268648,16700215
463,2020. 8. 24,36507657,132572,8033,183,5742,7777709,16473856
464,2020. 8. 23,28387739,123663,6048,160,5426,6480285,13333109
465,2020. 8. 22,27756555,124399,4221,161,5434,6284351,13686173
466,2020. 8. 21,35185184,126705,1371,194,6028,7258885,17333345
467,2020. 8. 20,33708233,119971,8601,189,5806,6734924,15908323
468,2020. 8. 19,35831991,129735,7992,186,6009,7515071,16561276
469,2020. 8. 18,35201841,124247,3494,191,5668,7761570,15943996
470,2020. 8. 17,28927641,120592,6728,173,5317,6761757,14099111
471,2020. 8. 16,24770138,112919,3630,166,4990,5661472,13102944
472,2020. 8. 15,25363710,117615,5128,165,5234,5915227,13535474
473,2020. 8. 14,32334027,123438,3659,190,5492,6234219,17216764
474,2020. 8. 13,32896154,118386,7372,204,5135,3330716,20875563
475,2020. 8. 12,32763490,117293,7451,199,5706,3034783,20336807
476,2020. 8. 11,32606595,118377,9128,194,5905,2981493,19975874
477,2020. 8. 10,33764785,121703,9324,204,6309,3502587,21271685
478,2020. 8. 9,25266053,117117,1619,175,6750,3416484,17070966
479,2020. 8. 8,25430648,118236,1012,175,6590,3758312,16913594
480,2020. 8. 7,31676426,123441,4810,195,6874,3804602,20277063
481,2020. 8. 6,30767531,114538,7384,199,6435,4024239,18748238
482,2020. 8. 5,31232592,114123,6062,200,5957,3794616,18973414
483,2020. 8. 4,31506768,116832,4453,190,6576,3747499,18459796
484,2020. 8. 3,31012293,118285,7926,183,6859,5372807,16292398
485,2020. 8. 2,24679259,119219,3950,154,6859,4503700,13912964
486,2020. 8. 1,24416074,117937,9369,157,6776,4868179,13693534
487,2020. 7. 31,31370999,118791,5516,201,5844,7624404,16278936
488,2020. 7. 30,32734142,120381,5788,209,6081,9103500,16111886
489,2020. 7. 29,33178905,122324,6593,213,6242,8834216,17257401
490,2020. 7. 28,32421310,117515,7362,219,6299,8823187,16909345
491,2020. 7. 27,33782929,124492,9520,195,6691,7134902,17114825
492,2020. 7. 26,25156684,119446,9729,175,6577,6732345,14208658
493,2020. 7. 25,24626280,118587,1066,174,6675,6890634,13744977
494,2020. 7. 24,33374206,128332,8927,195,6957,7169622,17907018
495,2020. 7. 23,34858284,133626,1214,195,7894,7136214,18879109
496,2020. 7. 22,34488481,131121,2442,195,7677,6591068,18968375
497,2020. 7. 21,34339928,126101,7455,203,7240,6147911,19492466
498,2020. 7. 20,34775873,129392,6731,199,7202,7566949,18231963
499,2020. 7. 19,25227972,122397,641,182,7101,7496549,14790896
500,2020. 7. 18,24236439,118212,3019,179,6770,6492453,14692542
501,2020. 7. 17,32289647,122179,7383,210,6485,7977693,17702029
502,2020. 7. 16,33285974,122027,9190,208,6725,7916092,17475252
503,2020. 7. 15,33185747,120795,733,202,6693,5788325,18588226
504,2020. 7. 14,33811908,125499,3021,194,6881,4661200,19664136
505,2020. 7. 13,34642809,130497,1647,192,7396,4821457,20197061
506,2020. 7. 12,24471984,124345,6109,168,7095,4588676,16295677
507,2020. 7. 11,24445969,125356,6951,165,7560,4496618,16151953
508,2020. 7. 10,34573015,138729,9326,179,7570,3874873,21016693
509,2020. 7. 9,34523791,137315,9964,183,8103,3650287,21523713
510,2020. 7. 8,32528985,129512,8310,198,8335,4978292,20646732
511,2020. 7. 7,32018404,123506,2428,195,7278,4152470,19985232
512,2020. 7. 6,32530913,124277,3926,190,6687,2978549,20613921
513,2020. 7. 5,22721663,113198,563,177,5754,2703233,17281664
514,2020. 7. 4,22494795,112878,8918,180,5833,3275460,17079006
515,2020. 7. 3,31658057,127065,8184,194,6576,3763944,20868001
516,2020. 7. 2,32347535,125786,5406,194,6354,3822356,20629206
517,2020. 7. 1,32437128,122661,5005,201,6900,3300830,21319726
518,2020. 6. 30,32865489,119548,8269,218,5473,5251133,20830062
519,2020. 6. 29,33352589,123314,7426,213,5856,5606223,20671321
520,2020. 6. 28,23866407,113514,9345,195,5549,5565939,16597804
521,2020. 6. 27,23475662,110863,184,200,5214,5521882,16680309
522,2020. 6. 26,32036099,120524,1011,217,5991,7032866,19117030
523,2020. 6. 25,33584670,124482,2733,217,6242,7303798,19736914
524,2020. 6. 24,33917162,128480,1329,218,6573,8077919,19870107
525,2020. 6. 23,33182104,123979,8213,209,6116,5819130,20073548
526,2020. 6. 22,33832071,127285,3845,205,6309,5009617,21057685
527,2020. 6. 21,23825642,115232,9566,191,5467,4248444,17730062
528,2020. 6. 20,24015238,115251,8879,190,5261,4016363,17849191
529,2020. 6. 19,32119441,124826,7074,208,5430,4293623,21663313
530,2020. 6. 18,33717636,127649,4136,207,5675,4588818,21835997
531,2020. 6. 17,33453832,127293,7884,204,5905,4062399,21878501
532,2020. 6. 16,33798224,125809,540,205,5918,3954270,21891250
533,2020. 6. 15,33717498,125801,6036,202,6345,3920449,21541461
534,2020. 6. 14,23815359,118155,8744,180,6111,3027570,18238052
535,2020. 6. 13,23823199,117829,549,179,6002,3725424,17359576
536,2020. 6. 12,32460353,128712,9703,197,6526,5006721,20372656
537,2020. 6. 11,33392612,125381,7775,199,5887,4879193,20083431
538,2020. 6. 10,33044594,122400,3924,214,5782,6438583,19711796
539,2020. 6. 9,33186815,122621,6866,208,5975,5375495,20164042
540,2020. 6. 8,33458732,121407,2340,205,5756,4141284,20742064
541,2020. 6. 7,23208025,109512,5030,194,5564,4335288,16942047
542,2020. 6. 6,22854282,109910,143,195,5076,4430989,17039622
543,2020. 6. 5,31691186,120430,4842,210,5402,5020721,20226498
544,2020. 6. 4,32799096,124895,5867,209,5229,6709436,19438155
545,2020. 6. 3,32631734,122993,1428,196,5358,6785418,17329491
546,2020. 6. 2,32854892,124551,5003,189,5355,4516517,19008014
547,2020. 6. 1,33152550,123520,3851,190,5085,3785107,19625586
548,2020. 5. 31,22679869,108618,6523,185,4201,3374280,16772802
549,2020. 5. 30,22330621,107272,3385,184,4207,3632785,16072091
550,2020. 5. 29,31214841,117461,5687,199,4613,3977196,19452491
551,2020. 5. 28,32779814,122932,9293,199,4794,5002570,19455308
552,2020. 5. 27,32538678,118470,6702,219,4372,5965161,19923414
553,2020. 5. 26,33053628,121907,777,213,4584,8445901,17520884
554,2020. 5. 25,33018047,121619,4105,210,4569,7476798,18073639
555,2020. 5. 24,22851007,114399,8850,192,4194,6571247,15435755
556,2020. 5. 23,22490965,108954,8874,199,3907,4040406,17592993
557,2020. 5. 22,31853140,121215,7046,208,4387,4496745,20701359
558,2020. 5. 21,32724314,124637,8946,207,4558,5093617,20672195
559,2020. 5. 20,32946241,122377,7013,202,4880,5446597,19331688
560,2020. 5. 19,33314206,127839,3987,198,5433,5508097,19744136
561,2020. 5. 18,33852370,127193,6217,188,5391,5549098,18417832
